date,rtn,ibm
01/07/2019,0.006191373,125.258774
02/07/2019,0.001054357,125.56324
03/07/2019,0.004069141,126.745239
05/07/2019,-0.00049115,126.601982
08/07/2019,-0.002495308,125.876656
09/07/2019,-0.003847995,124.766273
10/07/2019,0.003538909,125.787102
11/07/2019,0.002374177,126.476631
12/07/2019,0.004587876,127.819809
15/07/2019,0.001761275,128.339233
16/07/2019,0.000635783,128.527252
17/07/2019,-0.001394034,128.115356
18/07/2019,0.019469981,133.989624
19/07/2019,0.000145083,134.034393
22/07/2019,0.000174098,134.088135
23/07/2019,0.001852356,134.66127
24/07/2019,-0.001012069,134.347824
25/07/2019,0.001040907,134.670212
26/07/2019,0.00279215,135.538818
29/07/2019,-0.001379485,135.108978
30/07/2019,-0.003206787,134.115021
31/07/2019,-0.004459417,132.744949
01/08/2019,0.006051395,134.607544
02/08/2019,-0.008961503,131.858429
05/08/2019,-0.019576131,126.046783
06/08/2019,-9.25E-05,126.019936
07/08/2019,-0.005028346,124.569267
08/08/2019,0.008166971,126.933975
09/08/2019,-0.01248432,123.337051
12/08/2019,-0.0079199,121.108231
13/08/2019,0.006833886,123.029015
14/08/2019,-0.014768478,118.915665
15/08/2019,0.002211315,119.522697
16/08/2019,0.006015591,121.189774
19/08/2019,0.004136206,122.349495
20/08/2019,-0.006610791,120.501205
21/08/2019,0.004062657,121.633736
22/08/2019,0.000226418,121.697166
23/08/2019,-0.01563621,117.393555
26/08/2019,0.001405459,117.774078
27/08/2019,0.003924515,118.84317
28/08/2019,0.005232714,120.283745
29/08/2019,0.006880414,122.204544
30/08/2019,0.002087843,122.793449
03/09/2019,-0.004606666,121.497833
04/09/2019,0.007130914,123.509239
05/09/2019,0.014567122,127.722252
06/09/2019,-0.001234138,127.359818
09/09/2019,0.006226944,129.199066
10/09/2019,0.007398047,131.418777
11/09/2019,-0.004363144,130.105087
12/09/2019,6.05E-05,130.123199
13/09/2019,0.000151129,130.168488
16/09/2019,-0.003612243,129.090302
17/09/2019,-0.000854281,128.836624
18/09/2019,6.11E-05,128.854752
19/09/2019,0.002284196,129.534256
20/09/2019,-0.003323679,128.546707
23/09/2019,0.000581219,128.718857
24/09/2019,-0.001193929,128.365479
25/09/2019,0.004513126,129.70639
26/09/2019,0.001181606,130.059769
27/09/2019,-0.00093889,129.7789
30/09/2019,0.006559714,131.753998
01/10/2019,-0.005288184,130.159424
02/10/2019,-0.00599666,128.374557
03/10/2019,0.001010335,128.673553
04/10/2019,0.002956166,129.552399
07/10/2019,-0.005225033,128.003082
08/10/2019,-0.009007236,125.375648
09/10/2019,0.004029699,126.544388
10/10/2019,0.00451617,127.867172
11/10/2019,0.004987207,129.343994
14/10/2019,-0.002195844,128.691666
15/10/2019,0.002925367,129.561447
16/10/2019,-0.002711413,128.755081
17/10/2019,-0.024678025,121.642784
18/10/2019,-0.000550191,121.488777
21/10/2019,-0.0049184,120.120674
22/10/2019,0.004497152,121.370995
23/10/2019,0.001359501,121.751526
24/10/2019,-0.001002976,121.470673
25/10/2019,0.004415211,122.711891
28/10/2019,0.001696185,123.192093
29/10/2019,-0.006921991,121.244164
30/10/2019,0.004616196,122.539764
31/10/2019,-0.004908437,121.162605
01/11/2019,0.005806596,122.793449
04/11/2019,0.006803893,124.732346
05/11/2019,0.000693458,124.931671
06/11/2019,0.002794075,125.738022
07/11/2019,0.001674995,126.223907
08/11/2019,-0.000252495,126.150543
11/11/2019,-0.006806812,124.188766
12/11/2019,0.000384561,124.298782
13/11/2019,-0.003570006,123.281204
14/11/2019,-0.001552891,122.841179
15/11/2019,0.001294474,123.20787
18/11/2019,-0.00029094,123.125359
19/11/2019,0.00067859,123.317894
20/11/2019,-0.004282682,122.107803
21/11/2019,0.002081717,122.694511
22/11/2019,0.00161935,123.152855
25/11/2019,0.005237729,124.64711
26/11/2019,-0.002819864,123.840401
27/11/2019,-0.004264442,122.630333
29/11/2019,0.002202058,123.2537
02/12/2019,-0.005003099,121.841957
03/12/2019,-0.002589147,121.117729
04/12/2019,-0.000427496,120.998566
05/12/2019,-0.000263348,120.925217
06/12/2019,0.004291691,122.126122
09/12/2019,0.002276013,122.76783
10/12/2019,-3.24E-05,122.758667
11/12/2019,-0.000486761,122.621155
12/12/2019,0.005035756,124.051254
13/12/2019,-0.003577078,123.033699
16/12/2019,-0.000259019,122.960342
17/12/2019,0.000291362,123.042862
18/12/2019,0.000614298,123.217026
19/12/2019,0.000484437,123.354546
20/12/2019,0.003311714,124.298782
23/12/2019,-0.000128184,124.2621
24/12/2019,-0.001830111,123.739563
26/12/2019,-0.000225254,123.6754
27/12/2019,0.001157281,124.005402
30/12/2019,-0.007970682,121.750267
31/12/2019,0.004003614,122.877831
